name,chr,strand,start,end
PRAMEF18,chr1,-,13222704,13226106
PRAMEF5,chr1,+,13254211,13263314
PRAMEF8,chr1,-,13281034,13285174
PRAMEF33,chr1,+,13303538,13308907
PRAMEF15,chr1,+,13315580,13322598
PRAMEF14,chr1,-,13341891,13347134
PRAMEF19,chr1,-,13369066,13371900
PRAMEF17,chr1,+,13389631,13392629
PRAMEF20,chr1,+,13416350,13421328
LRRC38,chr1,-,13474972,13514003
PDPN,chr1,+,13583464,13617957
PRDM2,chr1,+,13700187,13825079
KAZN,chr1,+,13892791,15118043
TMEM51,chr1,+,15152531,15220478
FHAD1,chr1,+,15236520,15400283
EFHD2,chr1,+,15409887,15430339
CTRC,chr1,+,15438441,15449242
CELA2A,chr1,+,15456727,15472091
CELA2B,chr1,+,15465908,15491395
CASP9,chr1,-,15490831,15526534
DNAJC16,chr1,+,15526812,15592379
AGMAT,chr1,-,15571698,15585051
DDI2,chr1,+,15617457,15669044
RSC1A1,chr1,+,15659712,15662033
PLEKHM2,chr1,+,15684319,15734769
SLC25A34,chr1,+,15736257,15741392
TMEM82,chr1,+,15742498,15747982
FBLIM1,chr1,+,15756606,15786594
UQCRHL,chr1,-,15807168,15809348
SPEN,chr1,+,15836094,15940456
ZBTB17,chr1,-,15941868,15976132
SRARP,chr1,+,16004235,16008807
HSPB7,chr1,-,16014027,16019594
CLCNKA,chr1,+,16018874,16034050
CLCNKB,chr1,+,16040251,16057311
FAM131C,chr1,-,16057768,16073651
EPHA2,chr1,-,16124336,16156069
ARHGEF19,chr1,-,16197853,16212652
CPLANE2,chr1,-,16231691,16237183
FBXO42,chr1,-,16246839,16352480
SZRD1,chr1,+,16352574,16398145
SPATA21,chr1,-,16387116,16437424
NECAP2,chr1,+,16440720,16460078
NBPF1,chr1,-,16562318,16613562
CROCC,chr1,+,16740272,16972964
MFAP2,chr1,-,16974501,16980632
ATP13A2,chr1,-,16985957,17011928
ENSG00000288636,chr1,-,17005067,17011757
SDHB,chr1,-,17018721,17054032
PADI2,chr1,-,17066760,17119451
PADI1,chr1,+,17205127,17246007
PADI3,chr1,+,17249097,17284233
PADI4,chr1,+,17308194,17364004
PADI6,chr1,+,17372195,17401699
RCC2,chr1,-,17406759,17439677
ARHGEF10L,chr1,+,17539697,17697874
ACTL8,chr1,+,17755332,17827063
IGSF21,chr1,+,18107797,18378483
KLHDC7A,chr1,+,18480929,18485974
PAX7,chr1,+,18630845,18748866
TAS1R2,chr1,-,18839598,18859682
ALDH4A1,chr1,-,18871429,18902724
IFFO2,chr1,-,18904279,18956676
UBR4,chr1,-,19074509,19210266
EMC1,chr1,-,19215659,19251552
MRTO4,chr1,+,19251804,19260128
AKR7A3,chr1,-,19282572,19288770
AKR7A2,chr1,-,19303964,19312144
SLC66A1,chr1,+,19312325,19329300
CAPZB,chr1,-,19338774,19485539
MICOS10,chr1,+,19484402,19629821
NBL1,chr1,+,19596978,19658456
MICOS10-NBL1,chr1,+,19597066,19656927
HTR6,chr1,+,19664874,19680966
TMCO4,chr1,-,19682239,19799945
RNF186,chr1,-,19814028,19815283
OTUD3,chr1,+,19882394,19912945
PLA2G2E,chr1,-,19920008,19923617
PLA2G2A,chr1,-,19975430,19980416
PLA2G5,chr1,+,20028178,20091911
PLA2G2D,chr1,-,20111938,20119566
PLA2G2F,chr1,+,20139322,20150381
PLA2G2C,chr1,-,20161252,20186518
UBXN10,chr1,+,20186095,20196050
VWA5B1,chr1,+,20290874,20359518
CAMK2N1,chr1,-,20482390,20486210
MUL1,chr1,-,20499447,20508151
FAM43B,chr1,+,20552572,20555020
CDA,chr1,+,20589085,20618903
PINK1,chr1,+,20633457,20651511
DDOST,chr1,-,20651766,20661544
KIF17,chr1,-,20664013,20718017
SH2D5,chr1,-,20719730,20732837
HP1BP3,chr1,-,20740265,20787323
EIF4G3,chr1,-,20806291,21177285
ECE1,chr1,-,21217246,21345572
NBPF3,chr1,+,21440127,21485005
ALPL,chr1,+,21509396,21578410
ENSG00000289715,chr1,+,21547403,21554002
RAP1GAP,chr1,-,21596220,21669357
USP48,chr1,-,21678297,21783606
LDLRAD2,chr1,+,21812264,21825225
HSPG2,chr1,-,21822243,21937310
CELA3B,chr1,+,21977021,21998642
CELA3A,chr1,+,22001656,22012542
ENSG00000289694,chr1,+,22025141,22092943
CDC42,chr1,+,22052626,22101360
WNT4,chr1,-,22117312,22143969
ZBTB40,chr1,+,22428837,22531157
EPHA8,chr1,+,22563488,22603595
C1QA,chr1,+,22635076,22639678
ENSG00000289692,chr1,+,22636505,22644067
C1QC,chr1,+,22643013,22648110
C1QB,chr1,+,22652761,22661637
EPHB2,chr1,+,22710838,22921500
LACTBL1,chr1,-,22953042,22972866
TEX46,chr1,-,23010833,23019100
KDM1A,chr1,+,23019442,23083689
LUZP1,chr1,-,23084029,23177808
HTR1D,chr1,-,23191894,23217502
HNRNPR,chr1,-,23303770,23344336
ZNF436,chr1,-,23359447,23369836
TCEA3,chr1,-,23380908,23424748
ASAP3,chr1,-,23428562,23484568
E2F2,chr1,-,23506437,23531233
ID3,chr1,-,23557925,23559501
RPL11,chr1,+,23691741,23696835
ELOA,chr1,+,23743447,23762059
PITHD1,chr1,+,23778417,23788232
LYPLA2,chr1,+,23791144,23795539
GALE,chr1,-,23795598,23800781
HMGCL,chr1,-,23801884,23838620
FUCA1,chr1,-,23845076,23868290
CNR2,chr1,-,23870514,23913362
PNRC2,chr1,+,23956838,23963462
SRSF10,chr1,-,23964346,23980927
MYOM3,chr1,-,24056034,24112135
IL22RA1,chr1,-,24119770,24143140
IFNLR1,chr1,-,24154167,24187959
GRHL3,chr1,+,24199557,24364482
STPG1,chr1,-,24356998,24416934
NIPAL3,chr1,+,24415801,24472976
RCAN3,chr1,+,24502350,24541040
NCMAP,chr1,+,24556086,24609328
SRRM1,chr1,+,24631715,24673281
CLIC4,chr1,+,24745381,24844321
RUNX3,chr1,-,24899510,24965121
SYF2,chr1,-,25222275,25232502
RSRP1,chr1,-,25242248,25338213
RHD,chr1,+,25272392,25330445
TMEM50A,chr1,+,25338316,25362361
RHCE,chr1,-,25362248,25430192
MACO1,chr1,+,25430857,25500209
LDLRAP1,chr1,+,25543605,25568886
MAN1C1,chr1,+,25616790,25786206
SELENON,chr1,+,25800192,25818221
ENSG00000255054,chr1,+,25811469,25823744
MTFR1L,chr1,+,25818639,25832942
AUNIP,chr1,-,25831912,25859458
PAQR7,chr1,-,25861483,25875708
STMN1,chr1,-,25884180,25906991
PAFAH2,chr1,-,25959766,25998117
EXTL1,chr1,+,26019883,26036464
SLC30A2,chr1,-,26037251,26046118
TRIM63,chr1,-,26051300,26068436
PDIK1L,chr1,+,26111164,26125555
FAM110D,chr1,+,26159078,26163962
C1orf232,chr1,-,26164100,26168963
ZNF593OS,chr1,-,26169515,26171831
ZNF593,chr1,+,26169907,26170873
CNKSR1,chr1,+,26177483,26189884
CATSPER4,chr1,+,26190560,26202968
CEP85,chr1,+,26234199,26278808
SH3BGRL3,chr1,+,26280085,26281522
UBXN11,chr1,-,26281327,26318363
CD52,chr1,+,26317957,26320523
CRYBG2,chr1,-,26321697,26360080
ZNF683,chr1,-,26361633,26374522
LIN28A,chr1,+,26410816,26429728
DHDDS,chr1,+,26432281,26471306
HMGN2,chr1,+,26472439,26476642
RPS6KA1,chr1,+,26529760,26575030
ARID1A,chr1,+,26693235,26782104
PIGV,chr1,+,26787053,26800659
ZDHHC18,chr1,+,26826687,26857604
SFN,chr1,+,26863148,26864456
GPN2,chr1,-,26876131,26890283
GPATCH3,chr1,-,26890487,26900467
NUDC,chr1,+,26900237,26946871
NR0B2,chr1,-,26911488,26913975
KDF1,chr1,-,26949561,26960468
TRNP1,chr1,+,26993691,27000886
TENT5B,chr1,-,27005019,27012850
SLC9A1,chr1,-,27098808,27166981
WDTC1,chr1,+,27234631,27308636
TMEM222,chr1,+,27322144,27336400
SYTL1,chr1,+,27342019,27353937
MAP3K6,chr1,-,27354066,27366961
FCN3,chr1,-,27369109,27374824
CD164L2,chr1,-,27379175,27383333
GPR3,chr1,+,27392621,27395814
WASF2,chr1,-,27404229,27490167
AHDC1,chr1,-,27534034,27604431
FGR,chr1,-,27612063,27635185
IFI6,chr1,-,27666063,27672212
FAM76A,chr1,+,27725960,27763116
STX12,chr1,+,27773218,27824443
PPP1R8,chr1,+,27830781,27851676
THEMIS2,chr1,+,27872542,27886685
RPA2,chr1,-,27891523,27914746
SMPDL3B,chr1,+,27934999,27959157
XKR8,chr1,+,27959587,27968093
EYA3,chr1,-,27970343,28088637
PTAFR,chr1,-,28147165,28193936
DNAJC8,chr1,-,28199455,28233029
ATP5IF1,chr1,+,28236108,28246906
SESN2,chr1,+,28259517,28282491
MED18,chr1,+,28329001,28335965
PHACTR4,chr1,+,28369581,28500364
RCC1,chr1,+,28505942,28539300
TRNAU1AP,chr1,+,28553084,28578545
TAF12,chr1,-,28587828,28648291
RAB42,chr1,+,28592199,28595449
GMEB1,chr1,+,28668777,28719353
YTHDF2,chr1,+,28736620,28769775
OPRD1,chr1,+,28812169,28871267
EPB41,chr1,+,28887090,29120046
TMEM200B,chr1,-,29119428,29123903
SRSF4,chr1,-,29147742,29181900
MECR,chr1,-,29192656,29230942
PTPRU,chr1,+,29236515,29326813
ENSG00000289710,chr1,-,30576654,30576825
MATN1,chr1,-,30711276,30723585
LAPTM5,chr1,-,30732468,30757774
SDC3,chr1,-,30869465,30908758
PUM1,chr1,-,30931505,31065991
NKAIN1,chr1,-,31179744,31239887
SNRNP40,chr1,-,31259567,31296788
ZCCHC17,chr1,+,31296981,31364953
FABP3,chr1,-,31365252,31376850
SERINC2,chr1,+,31409564,31434680
TINAGL1,chr1,+,31576484,31587686
HCRTR1,chr1,+,31617685,31632518
PEF1,chr1,-,31629865,31644896
COL16A1,chr1,-,31652262,31704319
ADGRB2,chr1,-,31727116,31764893
SPOCD1,chr1,-,31790421,31816022
PTP4A2,chr1,-,31906420,31944856
ENSG00000288678,chr1,-,31919562,31919628
KHDRBS1,chr1,+,32013867,32060850
TMEM39B,chr1,+,32072030,32102866
KPNA6,chr1,+,32108055,32176563
TXLNA,chr1,+,32179674,32198285
CCDC28B,chr1,+,32200594,32205453
IQCC,chr1,+,32205670,32208682
DCDC2B,chr1,+,32209088,32216192
TMEM234,chr1,-,32214471,32222359
EIF3I,chr1,+,32221076,32245397
FAM167B,chr1,+,32247221,32248856
LCK,chr1,+,32251238,32286165
HDAC1,chr1,+,32292082,32333635
MARCKSL1,chr1,-,32333838,32336233
TSSK3,chr1,+,32351520,32364312
FAM229A,chr1,-,32361269,32364278
BSDC1,chr1,-,32364632,32394731
ENSG00000254553,chr1,+,32465056,32600792
ZBTB8B,chr1,+,32465071,32496686
ZBTB8A,chr1,+,32539426,32605941
ZBTB8OS,chr1,-,32600171,32650903
RBBP4,chr1,+,32651141,32686211
SYNC,chr1,-,32679905,32703596
KIAA1522,chr1,+,32741829,32774970
YARS1,chr1,-,32775236,32818031
S100PBP,chr1,+,32816766,32858875
FNDC5,chr1,-,32862267,32872482
HPCA,chr1,+,32885993,32898441
TMEM54,chr1,-,32894593,32901438
RNF19B,chr1,-,32936444,32964809
AK2,chr1,-,33007985,33080996
AZIN2,chr1,+,33081103,33123492
TRIM62,chr1,-,33145398,33182059
ZNF362,chr1,+,33256491,33300719
A3GALT2,chr1,-,33306765,33321098
PHC2,chr1,-,33323622,33431095
ZSCAN20,chr1,+,33472644,33501643
CSMD2,chr1,-,33513997,34165842
HMGB4,chr1,+,33860474,33864791
C1orf94,chr1,+,34166882,34219131
SMIM12,chr1,-,34712736,34859755
GJB5,chr1,+,34755046,34758512
GJB4,chr1,+,34759739,34762327
GJB3,chr1,+,34781213,34786369
GJA4,chr1,+,34792998,34795747
DLGAP3,chr1,-,34865435,34929650
ENSG00000284773,chr1,-,34974355,34985313
ENSG00000271741,chr1,-,34981532,35031741
TMEM35B,chr1,-,34981534,34985353
ZMYM6,chr1,-,34986164,35031945
ZMYM1,chr1,+,35032171,35115859
SFPQ,chr1,-,35176377,35193446
ZMYM4,chr1,+,35268708,35422058
KIAA0319L,chr1,-,35433491,35557950
NCDN,chr1,+,35557472,35567274
TFAP2E,chr1,+,35573313,35595328
PSMB2,chr1,-,35599540,35641526
C1orf216,chr1,-,35713876,35718894
CLSPN,chr1,-,35720217,35769978
AGO4,chr1,+,35808015,35857890
AGO1,chr1,+,35869807,35930532
AGO3,chr1,+,35930717,36072500
TEKT2,chr1,+,36084093,36088275
ADPRS,chr1,+,36088891,36093932
COL8A2,chr1,-,36095238,36125222
TRAPPC3,chr1,-,36136569,36156053
MAP7D1,chr1,+,36155578,36180849
THRAP3,chr1,+,36224431,36305357
SH3D21,chr1,+,36306367,36329340
EVA1B,chr1,-,36322029,36324154
STK40,chr1,-,36339623,36385924
LSM10,chr1,-,36391237,36397908
OSCP1,chr1,-,36415826,36450451
MRPS15,chr1,-,36455717,36464384
CSF3R,chr1,-,36466042,36483278
GRIK3,chr1,-,36795526,37034515
ZC3H12A,chr1,+,37474579,37484377
MEAF6,chr1,-,37489992,37514766
SNIP1,chr1,-,37534448,37554293
DNALI1,chr1,+,37556918,37566857
GNL2,chr1,-,37566815,37595937
RSPO1,chr1,-,37611349,37634892
C1orf109,chr1,-,37681569,37692249
CDCA8,chr1,+,37692480,37709719
EPHA10,chr1,-,37713879,37765133
MANEAL,chr1,+,37793846,37801137
YRDC,chr1,-,37802944,37808208
C1orf122,chr1,+,37806978,37809454
MTF1,chr1,-,37809573,37859592
INPP5B,chr1,-,37860696,37947057
SF3A3,chr1,-,37956974,37990075
FHL3,chr1,-,37996769,38005606
UTP11,chr1,+,38009257,38024820
POU3F1,chr1,-,38043828,38046793
RRAGC,chr1,-,38838197,38859772
MYCBP,chr1,-,38862492,38873368
ENSG00000274944,chr1,-,38864500,38881617
GJA9,chr1,-,38874068,38881587
RHBDL2,chr1,-,38885806,38941830
AKIRIN1,chr1,+,38991275,39006059
NDUFS5,chr1,+,39026317,39034636
MACF1,chr1,+,39081315,39487177
BMP8A,chr1,+,39491635,39529869
PABPC4,chr1,-,39560708,39576790
HEYL,chr1,-,39623434,39639643
NT5C1A,chr1,-,39651228,39672107
HPCAL4,chr1,-,39678647,39691485
PPIE,chr1,+,39692181,39763914
BMP8B,chr1,-,39757181,39788865
OXCT2,chr1,-,39769522,39771348
TRIT1,chr1,-,39838109,39883511
MYCL,chr1,-,39895425,39902256
MFSD2A,chr1,+,39955111,39969968
CAP1,chr1,+,40040232,40072649
PPT1,chr1,-,40072709,40097260
RLF,chr1,+,40161386,40240921
TMCO2,chr1,+,40245946,40251684
ZMPSTE24,chr1,+,40258040,40294180
COL9A2,chr1,-,40300488,40317813
SMAP2,chr1,+,40344849,40423326
ZFP69B,chr1,+,40450101,40463718
ZFP69,chr1,+,40477289,40496343
EXO5,chr1,+,40508740,40516038
ZNF684,chr1,+,40531572,40548167
RIMS3,chr1,-,40620679,40665682
NFYC,chr1,+,40691647,40771603
KCNQ4,chr1,+,40783786,40840452
CITED4,chr1,-,40861053,40862363
CTPS1,chr1,+,40979299,41012565
SLFNL1,chr1,-,41015588,41023237
SCMH1,chr1,-,41027201,41242306
FOXO6,chr1,+,41361921,41383590
EDN2,chr1,-,41478774,41484683
HIVEP3,chr1,-,41506364,42035925
ENSG00000284895,chr1,-,41585305,41628816
GUCA2B,chr1,+,42153409,42155820
GUCA2A,chr1,-,42162689,42164745
FOXJ3,chr1,-,42176538,42335877
RIMKLA,chr1,+,42380791,42424232
ZMYND12,chr1,-,42430328,42456253
PPCS,chr1,+,42456116,42473385
CCDC30,chr1,+,42463220,42657190
PPIH,chr1,+,42658334,42676758
YBX1,chr1,+,42682417,42703805
CLDN19,chr1,-,42733092,42740254
P3H1,chr1,-,42746334,42767084
C1orf50,chr1,+,42767244,42779491
ENSG00000283580,chr1,+,42767291,42794493
TMEM269,chr1,+,42784990,42816619
SVBP,chr1,-,42807051,42817397
ERMAP,chr1,+,42817121,42844991
ZNF691,chr1,+,42846572,42852477
SLC2A1,chr1,-,42925352,42958893
FAM183A,chr1,+,43145152,43156396
EBNA1BP2,chr1,-,43164174,43270936
CFAP57,chr1,+,43172329,43254358
TMEM125,chr1,+,43269982,43274002
C1orf210,chr1,-,43281876,43285617
TIE1,chr1,+,43300981,43323108
MPL,chr1,+,43337817,43354466
CDC20,chr1,+,43358980,43363203
ELOVL1,chr1,-,43363397,43368074
MED8,chr1,-,43383916,43389808
SZT2,chr1,+,43389881,43454247
HYI,chr1,-,43450988,43453989
PTPRF,chr1,+,43525186,43623666
KDM4A,chr1,+,43650148,43705518
ENSG00000284989,chr1,+,43650148,43931014
ST3GAL3,chr1,+,43705823,43931165
ARTN,chr1,+,43933319,43937240
IPO13,chr1,+,43946949,43968022
DPH2,chr1,+,43969999,43973369
ATP6V0B,chr1,+,43974486,43978295
B4GALT2,chr1,+,43978942,43991170
CCDC24,chr1,+,43991358,43996528
SLC6A9,chr1,-,43991499,44031467
KLF17,chr1,+,44118820,44135140
KLF18,chr1,-,44137820,44141631
DMAP1,chr1,+,44213454,44220681
ERI3,chr1,-,44221069,44355260
RNF220,chr1,+,44405193,44651724
TMEM53,chr1,-,44635237,44674481
ARMH1,chr1,+,44674691,44725591
KIF2C,chr1,+,44739817,44767767
RPS8,chr1,+,44775250,44778779
BEST4,chr1,-,44783584,44788170
PLK3,chr1,+,44800376,44805990
DYNLT4,chr1,-,44805892,44807351
BTBD19,chr1,+,44808522,44815585
PTCH2,chr1,-,44819843,44843253
EIF2B3,chr1,-,44850521,44986722
HECTD3,chr1,-,45002539,45011324
UROD,chr1,+,45010949,45015575
ZSWIM5,chr1,-,45016398,45306209
HPDL,chr1,+,45326894,45328710
MUTYH,chr1,-,45329162,45340893
ENSG00000288208,chr1,-,45329261,45491155
TOE1,chr1,+,45340051,45343973
TESK2,chr1,-,45343882,45491163
CCDC163,chr1,-,45493865,45500079
MMACHC,chr1,+,45500299,45513382
PRDX1,chr1,-,45510913,45542732
AKR1A1,chr1,+,45550542,45570049
NASP,chr1,+,45583845,45618904
CCDC17,chr1,-,45620043,45624057
GPBP1L1,chr1,-,45627303,45688113
TMEM69,chr1,+,45688180,45694436
IPP,chr1,-,45694323,45750653
MAST2,chr1,+,45786986,46036122
PIK3R3,chr1,-,46040139,46133036
P3R3URF-PIK3R3,chr1,-,46043660,46176488
TSPAN1,chr1,+,46175072,46185962
P3R3URF,chr1,-,46175485,46176488
POMGNT1,chr1,-,46188682,46220305
LURAP1,chr1,+,46203333,46221256
RAD54L,chr1,+,46246460,46278480
LRRC41,chr1,-,46261195,46303616
UQCRH,chr1,+,46303697,46316776
NSUN4,chr1,+,46340788,46365152
FAAH,chr1,+,46394316,46413848
DMBX1,chr1,+,46489835,46516216
TMEM275,chr1,-,46532165,46543969
KNCN,chr1,-,46545640,46551647
MKNK1,chr1,-,46557406,46616843
MOB3C,chr1,-,46607718,46616811
ATPAF1,chr1,-,46632736,46673867
TEX38,chr1,+,46668854,46673594
EFCAB14,chr1,-,46674658,46719146
CYP4B1,chr1,+,46757837,46819413
CYP4A11,chr1,-,46929176,46941484
CYP4X1,chr1,+,47023668,47050751
CYP4Z1,chr1,+,47067230,47118318
CYP4A22,chr1,+,47137434,47149727
PDZK1IP1,chr1,-,47183581,47191044
TAL1,chr1,-,47216289,47232225
STIL,chr1,-,47250138,47314892
CMPK1,chr1,+,47333789,47378839
FOXE3,chr1,+,47416284,47418052
FOXD2,chr1,+,47438043,47440691
TRABD2B,chr1,-,47760527,47997385
SLC5A9,chr1,+,48222684,48248644
SPATA6,chr1,-,48295372,48472208
AGBL4,chr1,-,48532853,50023954
BEND5,chr1,-,48727518,48776969
ELAVL4,chr1,+,50024028,50203772
DMRTA2,chr1,-,50417549,50423443
FAF1,chr1,-,50437027,50960267
CDKN2C,chr1,+,50960744,50974634
C1orf185,chr1,+,51102220,51148086
RNF11,chr1,+,51236272,51273447
TTC39A,chr1,-,51287257,51345116
EPS15,chr1,-,51354262,51519266
OSBPL9,chr1,+,51577178,51798427
NRDC,chr1,-,51789190,51878805
RAB3B,chr1,-,51907955,51990700
TXNDC12,chr1,-,52020130,52055191
ENSG00000285839,chr1,-,52020152,52033350
KTI12,chr1,-,52032102,52033810
BTF3L4,chr1,+,52056198,52090716
ZFYVE9,chr1,+,52142088,52348671
CC2D1B,chr1,-,52345722,52366205
ORC1,chr1,-,52372828,52404423
PRPF38A,chr1,+,52404601,52420836
TUT4,chr1,-,52408281,52553487
GPX7,chr1,+,52602370,52609051
