Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000151413	ENSG00000151413.17	31489956	31861224	14	NUBPL
ENSG00000172288	ENSG00000172288.8	25622117	25624902	Y	CDY1
ENSG00000152242	ENSG00000152242.11	46173553	46266992	18	C18orf25
ENSG00000233803	ENSG00000233803.9	9337464	9340284	Y	TSPY4
ENSG00000129515	ENSG00000129515.20	34561093	34630160	14	SNX6
ENSG00000226941	ENSG00000226941.9	22403410	22417881	Y	RBMY1J
ENSG00000149435	ENSG00000149435.12	23985050	23988779	20	GGTLC1
ENSG00000238074	ENSG00000238074.6	9487267	9490081	Y	TSPY9
ENSG00000141425	ENSG00000141425.18	35984387	36067576	18	RPRD1A
ENSG00000242875	ENSG00000242875.7	21511338	21525786	Y	RBMY1B
ENSG00000170369	ENSG00000170369.4	23823769	23826729	20	CST2
ENSG00000100354	ENSG00000100354.21	40044817	40335808	22	TNRC6B
ENSG00000125868	ENSG00000125868.16	17570075	17609919	20	DSTN
ENSG00000234414	ENSG00000234414.8	21534879	21549326	Y	RBMY1A1
ENSG00000125834	ENSG00000125834.13	2101827	2177038	20	STK35
ENSG00000152214	ENSG00000152214.14	42743227	43115691	18	RIT2
ENSG00000215397	ENSG00000215397.4	661596	675802	20	SCRT2
ENSG00000232948	ENSG00000232948.1	12310962	12318316	8	DEFB130A
ENSG00000253958	ENSG00000253958.2	8701937	8704096	8	CLDN23
ENSG00000164821	ENSG00000164821.5	6935820	6938306	8	DEFA4
ENSG00000212710	ENSG00000212710.5	22413599	22417915	18	CTAGE1
ENSG00000173281	ENSG00000173281.5	9136255	9151574	8	PPP1R3B
ENSG00000134489	ENSG00000134489.7	24460637	24479961	18	HRH4
ENSG00000175329	ENSG00000175329.13	35066136	35087387	22	ISX
ENSG00000154646	ENSG00000154646.9	18269116	18485879	21	TMPRSS15
ENSG00000173273	ENSG00000173273.16	9555912	9782346	8	TNKS
ENSG00000168229	ENSG00000168229.4	52267698	52276724	14	PTGDR
ENSG00000101773	ENSG00000101773.19	22798261	23026488	18	RBBP8
ENSG00000073712	ENSG00000073712.15	52857268	52952435	14	FERMT2
ENSG00000100170	ENSG00000100170.10	32043261	32113029	22	SLC5A1
ENSG00000176177	ENSG00000176177.10	39743044	39893864	22	ENTHD1
ENSG00000088782	ENSG00000088782.5	157454	159163	20	DEFB127
ENSG00000154639	ENSG00000154639.19	17513043	17593579	21	CXADR
ENSG00000172296	ENSG00000172296.13	13008972	13169103	20	SPTLC3
ENSG00000100307	ENSG00000100307.13	39120167	39152680	22	CBX7
ENSG00000131069	ENSG00000131069.20	34872146	34927962	20	ACSS2
ENSG00000100344	ENSG00000100344.11	43923792	43964488	22	PNPLA3
ENSG00000154359	ENSG00000154359.13	12721906	12756073	8	LONRF1
ENSG00000186976	ENSG00000186976.15	43528744	43812337	22	EFCAB6
ENSG00000156253	ENSG00000156253.7	29004384	29019360	21	RWDD2B
ENSG00000168234	ENSG00000168234.13	23992773	24135610	18	TTC39C
ENSG00000129480	ENSG00000129480.13	31446036	31457506	14	DTD2
ENSG00000100519	ENSG00000100519.12	52707178	52728590	14	PSMC6
ENSG00000175806	ENSG00000175806.15	10054292	10428891	8	MSRA
ENSG00000156265	ENSG00000156265.16	29077471	29175889	21	MAP3K7CL
ENSG00000187323	ENSG00000187323.12	52340197	53535903	18	DCC
ENSG00000054611	ENSG00000054611.14	46762617	47175699	22	TBC1D22A
ENSG00000134020	ENSG00000134020.8	22713251	23000000	8	PEBP4
ENSG00000141639	ENSG00000141639.12	50560087	50731826	18	MAPK4
ENSG00000184647	ENSG00000184647.11	10525532	10554166	8	PRSS55
ENSG00000275591	ENSG00000275591.5	6808517	6835524	8	XKR5
ENSG00000180998	ENSG00000180998.12	52552836	52637713	14	GPR137C
ENSG00000141622	ENSG00000141622.14	46326809	46463140	18	RNF165
ENSG00000126773	ENSG00000126773.13	60091911	60169133	14	PCNX4
ENSG00000253649	ENSG00000253649.5	10482878	10547585	8	PRSS51
ENSG00000275342	ENSG00000275342.5	8317736	8386439	8	PRAG1
ENSG00000134042	ENSG00000134042.14	50795120	50825402	18	MRO
ENSG00000168546	ENSG00000168546.11	21690398	21812357	8	GFRA2
ENSG00000126778	ENSG00000126778.12	60643421	60658259	14	SIX1
ENSG00000154001	ENSG00000154001.14	63371364	63543377	14	PPP2R5E
ENSG00000215547	ENSG00000215547.1	31257664	31259632	20	DEFB115
ENSG00000164741	ENSG00000164741.15	13083361	13604610	8	DLC1
ENSG00000232263	ENSG00000232263.1	30289145	30289514	21	KRTAP25-1
ENSG00000154721	ENSG00000154721.15	25639258	25717562	21	JAM2
ENSG00000067900	ENSG00000067900.8	20946906	21111813	18	ROCK1
ENSG00000156256	ENSG00000156256.15	29024629	29054488	21	USP16
ENSG00000100426	ENSG00000100426.7	49853844	49890080	22	ZBED4
ENSG00000056487	ENSG00000056487.16	44881162	45010005	22	PHF21B
ENSG00000078804	ENSG00000078804.13	34704339	34713439	20	TP53INP2
ENSG00000177511	ENSG00000177511.6	57352557	57371731	18	ST8SIA3
ENSG00000176641	ENSG00000176641.11	61808067	61894247	18	RNF152
ENSG00000101384	ENSG00000101384.12	10637684	10673999	20	JAG1
ENSG00000166510	ENSG00000166510.14	54901509	54959461	18	CCDC68
ENSG00000175387	ENSG00000175387.16	47808957	47931146	18	SMAD2
ENSG00000198252	ENSG00000198252.12	52730166	52774989	14	STYX
ENSG00000164151	ENSG00000164151.12	5420664	5490220	5	ICE1
ENSG00000100316	ENSG00000100316.16	39312882	39320389	22	RPL3
ENSG00000185053	ENSG00000185053.14	14084845	15238431	8	SGCZ
ENSG00000156282	ENSG00000156282.5	30165565	30166805	21	CLDN17
ENSG00000089057	ENSG00000089057.15	4852356	5010293	20	SLC23A2
ENSG00000145536	ENSG00000145536.15	5140330	5320304	5	ADAMTS16
ENSG00000147324	ENSG00000147324.11	8783354	8893630	8	MFHAS1
ENSG00000254093	ENSG00000254093.9	10764961	10839884	8	PINX1
ENSG00000188694	ENSG00000188694.6	30281309	30282950	21	KRTAP24-1
ENSG00000198743	ENSG00000198743.7	34073578	34106260	21	SLC5A3
ENSG00000198791	ENSG00000198791.12	17224966	17246878	8	CNOT7
ENSG00000184302	ENSG00000184302.7	60509146	60512850	14	SIX6
ENSG00000100625	ENSG00000100625.9	60709539	60724351	14	SIX4
ENSG00000041353	ENSG00000041353.10	54717860	54895516	18	RAB27B
ENSG00000124279	ENSG00000124279.12	7859159	7869037	5	FASTKD3
ENSG00000101435	ENSG00000101435.5	23564732	23568484	20	CST9L
ENSG00000156304	ENSG00000156304.15	31671000	31732118	21	SCAF4
ENSG00000075218	ENSG00000075218.19	46296870	46330810	22	GTSE1
ENSG00000091164	ENSG00000091164.13	56597209	56651600	18	TXNL1
ENSG00000100614	ENSG00000100614.18	60245752	60299087	14	PPM1A
ENSG00000078295	ENSG00000078295.17	7396138	7830081	5	ADCY2
ENSG00000089123	ENSG00000089123.16	13389392	13638932	20	TASP1
ENSG00000179388	ENSG00000179388.9	22687659	22693480	8	EGR3
ENSG00000134030	ENSG00000134030.14	48539031	48863217	18	CTIF
ENSG00000221818	ENSG00000221818.9	25841725	26045413	8	EBF2
ENSG00000100612	ENSG00000100612.14	60144119	60169856	14	DHRS7
ENSG00000183654	ENSG00000183654.9	16067139	16180762	5	MARCHF11
ENSG00000113430	ENSG00000113430.10	1877413	1887236	5	IRX4
ENSG00000100731	ENSG00000100731.16	70907405	71115382	14	PCNX1
ENSG00000155975	ENSG00000155975.10	17246931	17302427	8	VPS37A
ENSG00000082212	ENSG00000082212.13	50879080	50954257	18	ME2
ENSG00000156261	ENSG00000156261.13	29055805	29073797	21	CCT8
ENSG00000112902	ENSG00000112902.12	9035033	9546075	5	SEMA5A
ENSG00000159167	ENSG00000159167.12	23841929	23854806	8	STC1
ENSG00000180205	ENSG00000180205.4	45607939	45631284	20	WFDC9
ENSG00000104228	ENSG00000104228.13	27284886	27311272	8	TRIM35
ENSG00000149639	ENSG00000149639.15	36777447	36863538	20	SOGA1
ENSG00000145555	ENSG00000145555.15	16661907	16936288	5	MYO10
ENSG00000180305	ENSG00000180305.5	45629739	45631196	20	WFDC10A
ENSG00000175445	ENSG00000175445.17	19901717	19967259	8	LPL
ENSG00000141441	ENSG00000141441.16	32124877	32470882	18	GAREM1
ENSG00000188064	ENSG00000188064.10	45920366	45977162	22	WNT7B
ENSG00000179600	ENSG00000179600.4	63312835	63318935	14	GPHB5
ENSG00000154654	ENSG00000154654.15	20998409	21543329	21	NCAM2
ENSG00000101445	ENSG00000101445.10	38805697	38923024	20	PPP1R16B
ENSG00000184828	ENSG00000184828.10	48026672	48410752	18	ZBTB7C
ENSG00000149633	ENSG00000149633.12	38210503	38260772	20	KIAA1755
ENSG00000119599	ENSG00000119599.17	72926377	72959703	14	DCAF4
ENSG00000101452	ENSG00000101452.15	38962299	39039723	20	DHX35
ENSG00000156006	ENSG00000156006.5	18391282	18401218	8	NAT2
ENSG00000171056	ENSG00000171056.8	10723768	10730511	8	SOX7
ENSG00000156284	ENSG00000156284.6	30214006	30216097	21	CLDN8
ENSG00000228075	ENSG00000228075.5	57147087	57150410	18	BOD1L2
ENSG00000101782	ENSG00000101782.15	23453287	23486603	18	RIOK3
ENSG00000036565	ENSG00000036565.15	20144855	20183206	8	SLC18A1
ENSG00000100372	ENSG00000100372.15	40769630	40819399	22	SLC25A17
ENSG00000142149	ENSG00000142149.9	31873020	32044633	21	HUNK
ENSG00000141665	ENSG00000141665.13	74073353	74147843	18	FBXO15
ENSG00000124191	ENSG00000124191.18	43914852	44069616	20	TOX2
ENSG00000100106	ENSG00000100106.22	37697048	37776556	22	TRIOBP
ENSG00000159256	ENSG00000159256.13	36320189	36386148	21	MORC3
ENSG00000284283	ENSG00000284283.1	17521801	17522397	5	TAF11L4
ENSG00000141458	ENSG00000141458.13	23506184	23586506	18	NPC1
ENSG00000124275	ENSG00000124275.15	7851186	7906025	5	MTRR
ENSG00000064655	ENSG00000064655.19	46894624	47188844	20	EYA2
ENSG00000126785	ENSG00000126785.13	63204114	63293508	14	RHOJ
ENSG00000159086	ENSG00000159086.15	32733899	32771792	21	PAXBP1
ENSG00000180008	ENSG00000180008.9	55027230	55049489	14	SOCS4
ENSG00000140015	ENSG00000140015.20	62699464	63102037	14	KCNH5
ENSG00000141437	ENSG00000141437.10	31759584	31760880	18	SLC25A52
ENSG00000172466	ENSG00000172466.16	35332227	35345482	18	ZNF24
ENSG00000172728	ENSG00000172728.16	33370824	33473146	8	FUT10
ENSG00000100304	ENSG00000100304.13	43166622	43187134	22	TTLL12
ENSG00000100647	ENSG00000100647.8	69611596	69715144	14	SUSD6
ENSG00000166562	ENSG00000166562.9	59139866	59158832	18	SEC11C
ENSG00000156687	ENSG00000156687.11	35235475	35796550	8	UNC5D
ENSG00000081138	ENSG00000081138.14	65750252	65890337	18	CDH7
ENSG00000129521	ENSG00000129521.15	33924227	34462774	14	EGLN3
ENSG00000180083	ENSG00000180083.11	45648563	45670270	20	WFDC11
ENSG00000186654	ENSG00000186654.21	44668547	44737681	22	PRR5
ENSG00000062598	ENSG00000062598.18	46366050	46432985	20	ELMO2
ENSG00000165389	ENSG00000165389.7	34432788	34462240	14	SPTSSA
ENSG00000170345	ENSG00000170345.10	75278826	75282230	14	FOS
ENSG00000205726	ENSG00000205726.15	33642400	33899861	21	ITSN1
ENSG00000038945	ENSG00000038945.15	16107878	16567490	8	MSR1
ENSG00000175985	ENSG00000175985.10	69484692	69531551	14	PLEKHD1
ENSG00000119681	ENSG00000119681.12	74498183	74612378	14	LTBP2
ENSG00000092964	ENSG00000092964.18	26514031	26658178	8	DPYSL2
ENSG00000183580	ENSG00000183580.10	15500180	15939795	5	FBXL7
ENSG00000166603	ENSG00000166603.5	60371062	60372775	18	MC4R
ENSG00000166479	ENSG00000166479.10	68673688	68715108	18	TMX3
ENSG00000164236	ENSG00000164236.12	10564070	10657816	5	ANKRD33B
ENSG00000165898	ENSG00000165898.14	74493756	74497106	14	ISCA2
ENSG00000140044	ENSG00000140044.13	75427716	75474111	14	JDP2
ENSG00000198959	ENSG00000198959.12	38127385	38166578	20	TGM2
ENSG00000147454	ENSG00000147454.14	23528956	23575463	8	SLC25A37
ENSG00000104626	ENSG00000104626.15	9002147	9116746	8	ERI1
ENSG00000042062	ENSG00000042062.13	50586108	50691542	20	RIPOR3
ENSG00000284438	ENSG00000284438.1	4338660	4339244	11	SSU72P7
ENSG00000284546	ENSG00000284546.1	4329865	4330449	11	SSU72P3
ENSG00000177669	ENSG00000177669.4	30131671	30144665	8	MBOAT4
ENSG00000284018	ENSG00000284018.1	4233288	4233872	11	SSU72P5
ENSG00000117983	ENSG00000117983.17	1223066	1262172	11	MUC5B
ENSG00000147459	ENSG00000147459.18	25184689	25418082	8	DOCK5
ENSG00000158480	ENSG00000158480.11	49903391	49915529	20	SPATA2
ENSG00000101447	ENSG00000101447.15	38926312	38953106	20	FAM83D
ENSG00000197496	ENSG00000197496.6	46709649	46736347	20	SLC2A10
ENSG00000158445	ENSG00000158445.10	49293394	49484297	20	KCNB1
ENSG00000124249	ENSG00000124249.7	44745865	44752313	20	KCNK15
ENSG00000149654	ENSG00000149654.11	46173739	46308498	20	CDH22
ENSG00000101542	ENSG00000101542.10	61333430	61555779	18	CDH20
ENSG00000174672	ENSG00000174672.16	1389899	1462689	11	BRSK2
ENSG00000124226	ENSG00000124226.11	49936336	49953885	20	RNF114
ENSG00000167393	ENSG00000167393.18	333933	386955	X	PPP2R3B
ENSG00000104660	ENSG00000104660.19	30095408	30177208	8	LEPROTL1
ENSG00000175354	ENSG00000175354.20	12785478	12929643	18	PTPN2
ENSG00000080189	ENSG00000080189.15	46345980	46364458	20	SLC35C2
ENSG00000198718	ENSG00000198718.13	44962190	45074431	14	TOGARAM1
ENSG00000120907	ENSG00000120907.18	26748150	26867278	8	ADRA1A
ENSG00000183943	ENSG00000183943.6	3604340	3713649	X	PRKX
ENSG00000133878	ENSG00000133878.9	33591330	33600023	8	DUSP26
ENSG00000177504	ENSG00000177504.10	8169944	8171267	X	VCX2
ENSG00000185291	ENSG00000185291.12	1336616	1382689	X	IL3RA
ENSG00000167034	ENSG00000167034.10	23678697	23682938	8	NKX3-1
ENSG00000147416	ENSG00000147416.11	20197381	20226819	8	ATP6V1B2
ENSG00000182162	ENSG00000182162.11	1462581	1537185	X	P2RY8
ENSG00000169100	ENSG00000169100.14	1386152	1392113	X	SLC25A6
ENSG00000165548	ENSG00000165548.11	77116568	77259495	14	TMEM63C
ENSG00000104756	ENSG00000104756.16	25427847	25458476	8	KCTD9
ENSG00000125363	ENSG00000125363.14	11293413	11300761	X	AMELX
ENSG00000196433	ENSG00000196433.13	1615059	1643081	X	ASMT
ENSG00000151812	ENSG00000151812.15	57563920	57982194	14	SLC35F4
ENSG00000198768	ENSG00000198768.11	58459101	58515399	20	APCDD1L
ENSG00000134013	ENSG00000134013.16	23296897	23425328	8	LOXL2
ENSG00000186496	ENSG00000186496.12	35366694	35377337	18	ZNF396
ENSG00000088298	ENSG00000088298.13	35115364	35147336	20	EDEM2
ENSG00000125378	ENSG00000125378.16	53949736	53958761	14	BMP4
ENSG00000081913	ENSG00000081913.14	62715541	62980433	18	PHLPP1
ENSG00000061337	ENSG00000061337.15	20246165	20303963	8	LZTS1
ENSG00000184661	ENSG00000184661.14	25459199	25507911	8	CDCA2
ENSG00000169084	ENSG00000169084.15	2219506	2502805	X	DHRSX
ENSG00000124151	ENSG00000124151.19	47501887	47656877	20	NCOA3
ENSG00000071991	ENSG00000071991.9	66501083	66604138	18	CDH19
ENSG00000146950	ENSG00000146950.13	9786429	9949443	X	SHROOM2
ENSG00000221996	ENSG00000221996.6	4367263	4368386	11	OR52B4
ENSG00000283740	ENSG00000283740.1	17604177	17605377	5	TAF11L11
ENSG00000053918	ENSG00000053918.18	2444684	2849105	11	KCNQ1
ENSG00000182836	ENSG00000182836.10	41306952	41510628	5	PLCXD3
ENSG00000100650	ENSG00000100650.16	69726900	69772005	14	SRSF5
ENSG00000104219	ENSG00000104219.13	17156482	17224799	8	ZDHHC2
ENSG00000250305	ENSG00000250305.9	12945642	13031503	8	TRMT9B
ENSG00000169093	ENSG00000169093.16	1403139	1453762	X	ASMTL
ENSG00000168300	ENSG00000168300.14	51817575	51899186	8	PCMTD1
ENSG00000132109	ENSG00000132109.10	4384897	4393702	11	TRIM21
ENSG00000149054	ENSG00000149054.16	6926404	7001004	11	ZNF215
ENSG00000104765	ENSG00000104765.16	26383054	26505636	8	BNIP3L
ENSG00000056097	ENSG00000056097.16	32354350	32444740	5	ZFR
ENSG00000205755	ENSG00000205755.12	1187549	1212723	X	CRLF2
ENSG00000134504	ENSG00000134504.14	26454910	26657401	18	KCTD1
ENSG00000151240	ENSG00000151240.17	274190	689668	10	DIP2C
ENSG00000110328	ENSG00000110328.6	11270877	11622005	11	GALNT18
ENSG00000177138	ENSG00000177138.17	9024232	9295682	X	FAM9B
ENSG00000124089	ENSG00000124089.4	56248732	56249815	20	MC3R
ENSG00000141424	ENSG00000141424.13	36108531	36129385	18	SLC39A6
ENSG00000101425	ENSG00000101425.14	38304150	38337505	20	BPI
ENSG00000196139	ENSG00000196139.14	5035354	5107686	10	AKR1C3
ENSG00000197892	ENSG00000197892.13	29067278	29263124	8	KIF13B
ENSG00000175868	ENSG00000175868.14	14904997	15082342	11	CALCB
ENSG00000283873	ENSG00000283873.1	4287499	4288083	11	SSU72P4
ENSG00000284306	ENSG00000284306.1	4242056	4242640	11	SSU72P2
ENSG00000177054	ENSG00000177054.14	19117099	19176422	11	ZDHHC13
ENSG00000146938	ENSG00000146938.16	5840637	6228867	X	NLGN4X
ENSG00000198081	ENSG00000198081.11	5289019	5297053	18	ZBTB14
ENSG00000124126	ENSG00000124126.14	48624252	48827999	20	PREX1
ENSG00000166573	ENSG00000166573.6	77249848	77277900	18	GALR1
ENSG00000178462	ENSG00000178462.12	5393101	5404828	10	TUBAL3
ENSG00000177058	ENSG00000177058.12	55625845	55773194	5	SLC38A9
ENSG00000198795	ENSG00000198795.11	25061924	25352190	18	ZNF521
ENSG00000183304	ENSG00000183304.10	8790795	8801383	X	FAM9A
ENSG00000185736	ENSG00000185736.16	1177313	1737525	10	ADARB2
ENSG00000197930	ENSG00000197930.13	52639915	52695900	14	ERO1A
ENSG00000149050	ENSG00000149050.10	6997085	7020346	11	ZNF214
ENSG00000134463	ENSG00000134463.15	11742366	11764070	10	ECHDC3
ENSG00000215182	ENSG00000215182.8	1157953	1201138	11	MUC5AC
ENSG00000101955	ENSG00000101955.15	38149336	38220924	X	SRPX
ENSG00000126010	ENSG00000126010.6	16123565	16153518	X	GRPR
ENSG00000170748	ENSG00000170748.7	7088998	7091148	11	RBMXL2
ENSG00000141668	ENSG00000141668.10	72536680	72638521	18	CBLN2
ENSG00000164822	ENSG00000164822.5	6924697	6926076	8	DEFA6
ENSG00000177324	ENSG00000177324.14	18162931	18220886	X	BEND2
ENSG00000134343	ENSG00000134343.14	26188842	26663289	11	ANO3
ENSG00000124212	ENSG00000124212.6	49503874	49568137	20	PTGIS
ENSG00000147027	ENSG00000147027.4	34627075	34657285	X	TMEM47
ENSG00000139977	ENSG00000139977.14	57390544	57415906	14	NAA30
ENSG00000185915	ENSG00000185915.5	21654690	21658330	X	KLHL34
ENSG00000176435	ENSG00000176435.7	38254000	38256093	14	CLEC14A
ENSG00000221914	ENSG00000221914.11	26291508	26372680	8	PPP2R2A
ENSG00000182732	ENSG00000182732.18	71932429	72566530	14	RGS6
ENSG00000182621	ENSG00000182621.18	8077251	8968360	20	PLCB1
ENSG00000178473	ENSG00000178473.7	5364966	5374692	10	UCN3
ENSG00000067082	ENSG00000067082.15	3775996	3785281	10	KLF6
ENSG00000040731	ENSG00000040731.10	24487100	24644978	5	CDH10
ENSG00000149970	ENSG00000149970.16	21372801	21654695	X	CNKSR2
ENSG00000284439	ENSG00000284439.1	17518367	17518963	5	TAF11L3
ENSG00000129170	ENSG00000129170.10	19182030	19210571	11	CSRP3
ENSG00000164294	ENSG00000164294.14	55160167	55167297	5	GPX8
ENSG00000016082	ENSG00000016082.15	51383448	51394730	5	ISL1
ENSG00000170743	ENSG00000170743.17	7238778	7469043	11	SYT9
ENSG00000065665	ENSG00000065665.21	12129637	12169961	10	SEC61A2
ENSG00000254598	ENSG00000254598.3	11351942	11353250	11	CSNK2A3
ENSG00000113593	ENSG00000113593.12	65563236	65587549	5	PPWD1
ENSG00000159261	ENSG00000159261.12	36460621	36576569	21	CLDN14
ENSG00000197217	ENSG00000197217.13	23385783	23457695	8	ENTPD4
ENSG00000167333	ENSG00000167333.13	4598672	4608231	11	TRIM68
ENSG00000157542	ENSG00000157542.11	37607373	38121345	21	KCNJ6
ENSG00000152219	ENSG00000152219.5	30323104	30338223	11	ARL14EP
ENSG00000129158	ENSG00000129158.11	17788048	18013047	11	SERGEF
ENSG00000154645	ENSG00000154645.14	17901263	18267373	21	CHODL
ENSG00000151655	ENSG00000151655.19	7703316	7749520	10	ITIH2
ENSG00000113389	ENSG00000113389.16	32689070	32791724	5	NPR3
ENSG00000160307	ENSG00000160307.10	46598604	46605208	21	S100B
ENSG00000156273	ENSG00000156273.16	29194071	29630751	21	BACH1
ENSG00000101493	ENSG00000101493.11	76357682	76495242	18	ZNF516
ENSG00000154080	ENSG00000154080.14	26906481	27185308	18	CHST9
ENSG00000186812	ENSG00000186812.13	35241030	35267133	18	ZNF397
ENSG00000283967	ENSG00000283967.1	17590364	17590960	5	TAF11L8
ENSG00000283988	ENSG00000283988.1	17593798	17594394	5	TAF11L9
