,length,mean [acc],"('lssi', 'full') [acc]","('spliceai-400', 'full') [acc]","('spliceai-10k', 'full') [acc]","('spliceai-400', 'wbl') [acc]","('spliceai-10k', 'wbl') [acc]","('spliceai-400', 'tos') [acc]","('spliceai-10k', 'tos') [acc]","('AM', 'full') [acc]","('FM', 'full') [acc]","('AM', 'wbl') [acc]","('FM', 'wbl') [acc]","('AM', 'tos') [acc]","('FM', 'tos') [acc]",mean [mean score],"('lssi', 'full') [mean score]","('spliceai-400', 'full') [mean score]","('spliceai-10k', 'full') [mean score]","('spliceai-400', 'wbl') [mean score]","('spliceai-10k', 'wbl') [mean score]","('spliceai-400', 'tos') [mean score]","('spliceai-10k', 'tos') [mean score]","('AM', 'full') [mean score]","('FM', 'full') [mean score]","('AM', 'wbl') [mean score]","('FM', 'wbl') [mean score]","('AM', 'tos') [mean score]","('FM', 'tos') [mean score]"
LEPR,220908,0.44939271255060736,0.15789473684210525,0.6578947368421053,0.9210526315789473,0.5,0.7105263157894737,0.21052631578947367,0.2631578947368421,0.6578947368421053,0.6052631578947368,0.34210526315789475,0.3684210526315789,0.2894736842105263,0.15789473684210525,1.0843707504240487,0.5344617888336516,2.459465466159793,2.9951029617337013,0.866542757360919,1.1590346881367444,0.2742019635696444,0.6470926864873724,1.568587051996855,1.243171572156608,0.8341378390999212,0.749785148323889,0.5133841971935682,0.25185163445996467
ADGRL2,686256,0.6842948717948718,0.25,0.7916666666666666,0.9791666666666666,0.7291666666666666,0.8958333333333334,0.5416666666666666,0.6041666666666666,0.8333333333333334,0.7916666666666666,0.7083333333333334,0.7291666666666666,0.6458333333333334,0.3958333333333333,1.668607684665799,0.7253186462328122,3.4148040634397443,3.494349030031389,1.3540809341380242,1.4433766530005852,0.7072329794408612,1.6879485681323805,2.2325032583116786,1.698467349018549,1.9136383776596333,1.2333675013599061,1.2032750789248663,0.583537460964954
RP11-302M6.4,300111,0.7564102564102565,0.5,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,1.812260873067338,1.3501613092177127,4.198542221209839,3.2116362080497662,1.7624757691607122,1.5208704787597485,0.9759486080233503,2.788354217367741,2.0921787210066998,1.3676439015731539,1.942146630146805,0.9429432006908881,0.9575888838217814,0.44890120084719504
GCLM,24206,0.6794871794871795,0.08333333333333333,1.0,1.0,0.8333333333333334,1.0,0.4166666666666667,0.5,0.75,0.6666666666666666,0.8333333333333334,0.75,0.4166666666666667,0.5833333333333334,1.721662491187754,0.6175612851878063,4.430166203801264,3.6278303824963536,1.5364851912774249,1.5649853530121494,0.5392458886308105,1.4657065073345699,2.0973345128046934,1.720506229442121,1.9305579127018022,1.301191597061315,0.7827067328200487,0.7673345888704444
MROH9,63281,0.5137362637362638,0.10714285714285714,0.8928571428571429,0.8214285714285714,0.8571428571428571,0.9285714285714286,0.35714285714285715,0.39285714285714285,0.4642857142857143,0.5,0.4642857142857143,0.42857142857142855,0.25,0.21428571428571427,1.2999914287119718,0.5039046895432556,3.457485015986152,2.880308034837534,1.5556984360835038,1.4491001435932973,0.5373526576439785,1.1271375685873133,1.2606545860233758,1.0461857762988787,1.3759996124960399,0.8375312494336901,0.5340306317560792,0.33450017097253504
TNFSF18,11004,0.75,0.25,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,1.763111954088136,0.786806080720313,4.703955588830908,3.6289206768320046,1.5517953635356543,1.595562952169375,0.8872363847256581,2.3202608911299394,1.0579373976254494,1.5637207789182983,1.3523881212898854,1.2380786970205524,1.3563327324987184,0.8774597378490137
ACBD6,214725,0.8241758241758241,0.5,1.0,1.0,1.0,1.0,0.7857142857142857,0.8571428571428571,1.0,0.6428571428571429,0.7142857142857143,0.9285714285714286,0.6428571428571429,0.6428571428571429,2.02662661785512,1.0074629448169306,4.53961022976482,3.5313658121910896,1.8097317386826752,1.5660263559657432,0.9863749910935878,2.3695143144189044,2.5903882662365922,1.8157896307898638,2.351962126950876,1.5972799025360882,1.2922204869778187,0.8884192316915697
RGSL1,110413,0.5769230769230769,0.2619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.7857142857142857,0.3333333333333333,0.5714285714285714,0.6190476190476191,0.47619047619047616,0.6666666666666666,0.5714285714285714,0.5238095238095238,0.30952380952380953,1.414534947240565,0.7149234119069019,3.0243488001082817,2.7791513250692508,1.350057688060946,1.3038832339581183,0.4878182921902417,1.609768310746175,1.7024061148584635,1.1599480087894019,1.7694258141511736,1.0141582473373103,0.9945321690405687,0.478532897910516
ZBTB41,46863,0.7435897435897435,0.16666666666666666,1.0,1.0,1.0,1.0,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.6666666666666666,0.6111111111111112,0.3888888888888889,1.8963692465921054,0.650828872885522,4.6182266968792876,3.650446161392711,1.7935829346294894,1.5962169133043433,0.7262538514032543,1.8609551273913911,2.5463845030994086,1.8887092290610217,2.3607937619025297,1.3058014987784954,1.1000874156126352,0.5545132393572856
EPRS,78058,0.7307692307692307,0.1935483870967742,0.967741935483871,1.0,0.8709677419354839,0.9838709677419355,0.5483870967741935,0.5806451612903226,0.9838709677419355,0.8225806451612904,0.8387096774193549,0.7741935483870968,0.5967741935483871,0.3387096774193548,1.8449030667979822,0.6327954115188471,4.3499794821173365,3.662798827202376,1.5881925289142467,1.5632734968321402,0.6632014139832536,1.6399396181033807,2.705587509388328,2.0469738847894594,2.1623390287880193,1.387020210563114,1.0987368920810556,0.48290156409220797
DNAH14,469616,0.4976830398517146,0.1566265060240964,0.8012048192771084,0.8734939759036144,0.5662650602409639,0.7831325301204819,0.3313253012048193,0.3433734939759036,0.6265060240963856,0.5240963855421686,0.4759036144578313,0.43373493975903615,0.3373493975903614,0.21686746987951808,1.2505156004326656,0.5379283561644707,3.1136639830493715,2.9406868181032846,1.073311984049794,1.2436312873036501,0.4119035380224184,0.9010083300449806,1.644895773645431,1.2987947874499546,1.2653103956912015,0.8800242281681572,0.643660196272074,0.301883127659862
NUP133,68082,0.6969230769230769,0.24,1.0,1.0,0.84,0.94,0.5,0.5,0.82,0.84,0.64,0.74,0.66,0.34,1.7355539919812228,0.6173495501068327,4.453168444373696,3.6518043171895904,1.517362342055685,1.5042141264584905,0.6461127225230525,1.3554854192877526,2.194397206051284,1.8534774688076023,1.786709490832099,1.2634689429532318,1.1946038495078097,0.5240480156087693
MTR,108672,0.6862980769230769,0.265625,0.9375,0.9375,0.90625,0.859375,0.5625,0.625,0.84375,0.625,0.65625,0.671875,0.640625,0.390625,1.6891296303361814,0.6714075499459178,4.043898147999325,3.3653451103126457,1.6133651538110154,1.4381034603589473,0.6907812632468722,1.7657817380550798,2.226739801805648,1.4467961506473035,1.7818988677944811,1.1794179402704332,1.1699642665713395,0.5651857435513495
AURKAIP1,1766,0.717948717948718,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,1.7347375709367359,1.5249936946050848,3.779827839425439,3.4168606253176255,1.4160984452770864,1.2083599782719803,0.7818542376119888,1.864550049190678,1.9848780397003398,1.4457024847369364,1.8024472723058265,1.3118347546628295,1.215453152428853,0.7987278486428983
NADK,27239,0.6748251748251749,0.22727272727272727,0.9090909090909091,1.0,0.9545454545454546,1.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5909090909090909,0.7727272727272727,0.5909090909090909,0.36363636363636365,0.45454545454545453,1.6902446557977588,0.8494625396297526,3.924641539793275,3.590400780754622,1.7027565730091019,1.5908661774550383,0.8030694565551927,1.7324474090400444,1.7820204961814463,1.4535086371176376,2.0377720784252507,1.1363915018017474,0.7673752736559899,0.6024680619517715
TTC34,138906,0.7756410256410257,0.5,1.0,1.0,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.75,0.5,1.9287244456886024,1.123343692373185,4.188531957546824,3.545396589283244,1.637605014286095,1.4806387889690111,0.7875286567350313,2.348902489618857,2.2811895738176573,1.7655904583077773,2.7017879997011964,1.1244667691251067,1.4260061621752864,0.662429642012555
CCDC27,19247,0.8006993006993006,0.3181818181818182,0.9090909090909091,0.9545454545454546,0.9090909090909091,0.9545454545454546,0.7727272727272727,0.6363636363636364,0.9545454545454546,0.7272727272727273,0.8636363636363636,0.7272727272727273,1.0,0.6818181818181818,1.8362703775369764,0.725012235276676,3.5310259396479977,3.3978288540255077,1.5287395528182606,1.5419889356496377,0.9522179470545109,1.7875137223329418,2.4647566547249746,1.5774842176185742,2.336753960720733,1.2899270090069868,1.834933534687923,0.9033323444159644
DFFB,28149,0.7371794871794873,0.3333333333333333,1.0,1.0,0.9166666666666666,1.0,0.75,0.8333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.3333333333333333,1.7541482246353408,0.7591379583987967,3.9889890585338197,3.465846660847531,1.6252330480085915,1.5562098164650688,0.9061085479260722,2.349575940978969,1.9026763784400946,1.5756285825326188,1.850631889801007,0.9731792412266388,1.3429589323099844,0.5077508647902392
AJAP1,123063,0.8076923076923076,0.6,0.9,1.0,0.8,1.0,0.8,0.7,0.8,0.8,0.9,0.7,0.9,0.6,1.8926785035229399,1.2871769616821216,3.660198493209274,3.5382584884164325,1.5286429101878969,1.541382989807216,0.9364417601885895,1.890928060990317,2.050838050001789,1.809794053725398,2.4076751807561787,1.318782933876475,1.6687863995508323,0.9659142634056957
NPHP4,129654,0.6883289124668435,0.2413793103448276,0.9310344827586207,0.9310344827586207,0.896551724137931,0.896551724137931,0.6206896551724138,0.7068965517241379,0.7758620689655172,0.603448275862069,0.6379310344827587,0.6551724137931034,0.5862068965517241,0.46551724137931033,1.657725224895599,0.7001735244811126,3.828431038802599,3.225108135014099,1.57309499903492,1.412622829477145,0.8033953873789559,1.9300727165919076,1.9419286610597786,1.456275750861291,1.7930169482080676,1.1744678177968715,1.0773140954312455,0.6345260195047977
ACOT7,121541,0.8798076923076923,0.375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.875,0.9375,0.9375,0.75,0.8125,2.1702726471795724,1.1708206322136776,4.451215771810295,3.656890856746179,1.6974024564492318,1.595215337200858,1.104895457372388,2.7143986598462355,2.818942965684651,2.1279230463417598,2.756572128044139,1.5948307967099364,1.4290905626165622,1.09534574229853
TNFRSF9,27272,0.5288461538461539,0.25,0.8125,0.875,0.75,0.75,0.5,0.5,0.8125,0.375,0.375,0.3125,0.25,0.3125,1.2591230151299433,0.6194399075841803,3.140826050058373,3.00205493273834,1.3179676828771425,1.2483058793005197,0.6778466276112669,1.24206090413292,1.6524595665959718,0.9523929432307792,0.9426669868605151,0.6624720265630584,0.4511705070840173,0.45893518205218176
GPR157,28866,0.8205128205128206,0.5,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,1.9243083251025086,0.9128807344446308,4.576048991305263,3.292030533750084,1.5440556866862822,1.5795081886511724,1.1725026668884517,2.067114868297811,2.3128396550196784,1.615220293595575,2.5478774008696163,1.251982796758436,1.4214207864452062,0.722525623620407
CTNNBIP1,61988,0.9461538461538462,0.9,0.9,1.0,1.0,1.0,0.9,1.0,0.8,1.0,1.0,1.0,1.0,0.8,2.1882617579068926,1.6873649167393328,4.043507036985694,3.3033534793443025,1.790647972685278,1.5740882316618083,1.0552187818690053,2.743917663648651,2.2262427893981283,2.4185400913276185,2.8833123525085593,1.7658436186960706,1.8201798727958398,1.1351860451293168
PEX14,155872,0.8653846153846154,0.5625,1.0,1.0,1.0,0.875,0.75,0.9375,0.875,0.8125,0.875,0.875,1.0,0.6875,2.131054749503969,1.2528525816215508,4.7134479261086915,3.6469714079424924,1.7712737696877805,1.4745581224115942,0.8856632026533084,2.689278544467437,2.303991555271314,2.0631253327995744,2.6679892929666176,1.4885573222927673,1.853031747400831,0.8929709379276343
CASZ1,160045,0.8480769230769231,0.65,0.975,0.975,0.975,0.95,0.8,0.825,0.9,0.825,0.925,0.85,0.85,0.525,2.0421117528447366,1.3537205956815928,4.406848407705715,3.485776306214359,1.7314645219477278,1.4952204777960236,0.9387136338518332,2.3237784659273286,2.408580803391121,1.9388842584813955,2.688245042845314,1.4775416205273255,1.5502810601394774,0.7483975924723639
C1orf127,35565,0.6025641025641026,0.5,0.6666666666666666,0.75,0.625,0.5833333333333334,0.5,0.6666666666666666,0.6666666666666666,0.5416666666666666,0.625,0.5416666666666666,0.75,0.4166666666666667,1.394312969176356,1.2212482518226786,2.3227651993166454,2.487563226707621,1.2029985695052703,0.9957661086319559,0.6508194857271757,1.847963959451145,1.5395207607540804,1.1755469416974287,1.7476747541467261,0.9917254484288813,1.3332545439659915,0.6092213491370315
EXOSC10,33252,0.7056856187290971,0.2391304347826087,0.9130434782608695,0.9565217391304348,0.8913043478260869,0.9130434782608695,0.6521739130434783,0.5434782608695652,0.9782608695652174,0.5652173913043478,0.8043478260869565,0.6739130434782609,0.6304347826086957,0.41304347826086957,1.7290868089742237,0.6555020459418728,3.992921975050133,3.432925625746026,1.6008421497971579,1.4792040577439713,0.7708473300514338,1.5452811420233747,2.5845435343817633,1.4582338126480507,2.017354523958243,1.1849474082839848,1.1848688293361958,0.570656081702705
AGTRAP,14611,0.8653846153846154,0.625,1.0,1.0,1.0,1.0,0.875,0.625,0.75,1.0,1.0,1.0,0.875,0.5,1.9425799268933963,0.9441867909627146,4.017409047323975,3.526334465175177,1.6407456371882112,1.5843280541193354,1.0237349633923678,1.4008151501731296,2.108929466484264,2.269170018206669,2.8790228329705987,1.5707785405879366,1.6425419965604275,0.6455420864693432
TNFRSF8,80831,0.857142857142857,0.6071428571428571,0.9642857142857143,1.0,0.9285714285714286,1.0,0.8214285714285714,0.9285714285714286,0.8571428571428571,0.8214285714285714,0.8571428571428571,0.8214285714285714,0.8928571428571429,0.6428571428571429,2.0321863871366315,1.3245465798757625,4.109359315076615,3.4055099749330915,1.6814808498024496,1.576509567528985,0.9860227392739251,2.6015636728585854,2.2989078774079554,1.981114623000096,2.4969089796950272,1.4782983368184033,1.6215618748872587,0.8566386416180485
FHAD1,150855,0.7423076923076923,0.38333333333333336,0.95,0.95,0.9166666666666666,0.9333333333333333,0.6166666666666667,0.6833333333333333,0.75,0.6833333333333333,0.85,0.75,0.6333333333333333,0.55,1.8136625960484913,0.9367008391144617,4.090930728715211,3.396977758685674,1.6569806848502904,1.4763840114391857,0.8056477907864188,1.9198520008293751,2.0493988427239938,1.6004685121940692,2.396926342772663,1.2939036862611635,1.185452800842127,0.7679897494157523
FBXO42,105616,0.7735042735042735,0.3888888888888889,0.8333333333333334,0.8888888888888888,1.0,0.9444444444444444,0.5555555555555556,0.6666666666666666,0.9444444444444444,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.7777777777777778,0.5,1.8270237095394253,1.0502316262578673,3.452150770005929,3.0623167416549806,1.7082219283597344,1.5173816987524718,0.7159142325454037,1.7174288600503247,2.5582308197528243,2.0456609907340177,2.293491657641947,1.5665208361704568,1.4205696626556497,0.643188399430924
IGSF21,270737,0.8632478632478633,0.6666666666666666,1.0,1.0,1.0,0.9444444444444444,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.7222222222222222,2.0905835523727045,1.298947633086036,4.42571697304078,3.5095984541793492,1.7759557161218638,1.5030064040010904,1.0281068293711568,2.3733769493411576,2.6319957432578316,2.0317586220416284,2.5973811313291395,1.4517437507851194,1.5507017130650127,0.9992962612249868
UBR4,135771,0.7336996336996336,0.23333333333333334,0.9476190476190476,0.9809523809523809,0.9,0.9761904761904762,0.5952380952380952,0.7047619047619048,0.861904761904762,0.7095238095238096,0.7142857142857143,0.7142857142857143,0.7333333333333333,0.4666666666666667,1.807173382248484,0.6464401659704165,4.102651426558671,3.5397536168786394,1.6367386687442935,1.5610822635915473,0.7578107557311784,1.9410207277764282,2.3760320126727463,1.701808919700464,1.9893292008648398,1.2513168021827288,1.348298592096785,0.6409708164615521
CAPZB,145948,0.8365384615384616,0.625,1.0,1.0,1.0,0.9375,0.8125,0.75,0.875,0.8125,0.9375,0.6875,0.8125,0.625,2.0568200203735674,1.3547379325485185,4.221484629112895,3.640928356159395,1.7914480762743843,1.4708846505300621,1.030778958733405,2.329654437845204,2.4065828242386096,1.8263591126655196,2.9644810015324525,1.361178456221857,1.5607512984155147,0.7793905305785565
TMCO4,117705,0.817948717948718,0.43333333333333335,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.8333333333333334,0.9333333333333333,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.7666666666666667,0.7666666666666667,1.9497687246402733,0.979354760174009,4.201568818629459,3.337530103752097,1.6304851020426052,1.4889453482356558,0.874767526798818,2.3350133855879798,2.323930598882628,1.9133741018599897,2.479306231145164,1.3758123657124743,1.4205672664441906,0.9863378110584864
HP1BP3,44028,0.6282051282051282,0.16666666666666666,0.875,0.9166666666666666,0.75,0.9166666666666666,0.5833333333333334,0.5416666666666666,0.8333333333333334,0.625,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.25,1.5744718212568627,0.5323566741187982,3.8382059990432738,3.3086905213654596,1.361421391470964,1.4488478650496797,0.6876340243336795,1.5528230421319282,2.343876244316539,1.5201219316544632,1.3599506291356782,1.1002536236582279,1.0477134351103181,0.3662382949502024
LDLRAD2,12957,0.6057692307692307,0.25,0.625,0.75,0.75,0.875,0.375,0.5,0.75,0.875,0.375,0.75,0.5,0.5,1.3554620972695568,0.9458901444317002,2.7132859077543365,2.335263414471818,1.1997815063558688,1.3385173317520107,0.5989430042972598,1.0810931093814733,1.7513737745912876,1.5050896633153763,1.236272482398306,1.2409256006249048,0.8964378292701143,0.7781334958597843
ZBTB40,79307,0.6239316239316239,0.2222222222222222,0.9166666666666666,0.9444444444444444,0.75,0.9444444444444444,0.5555555555555556,0.6944444444444444,0.6944444444444444,0.5555555555555556,0.6666666666666666,0.3888888888888889,0.5,0.2777777777777778,1.5524604118044147,0.6192415990402327,3.660527853086286,3.3917303720932126,1.4295440070228533,1.5011307079880343,0.7633182131421257,1.8548772497594017,1.808635456749902,1.241383958656588,1.7252116144694454,0.8405565560415881,0.947143604579564,0.3986841608281565
IFNLR1,33105,0.7051282051282051,0.4166666666666667,1.0,1.0,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.75,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.75,0.4166666666666667,1.7317408248029635,0.9056935616487071,4.09757155178865,3.380082000744853,1.5581008255829307,1.4284629109457068,0.8269650422653873,2.0151077311119265,1.7655817614040643,1.3646962455392806,2.0789778695196373,1.0179937352637884,1.4307240471174687,0.642673439506125
NCMAP,53215,0.8205128205128204,0.5,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.061157421695152,1.2132624060248662,4.5187327779489666,3.6477958871146643,1.810773439080017,1.5956076380728732,1.172303377695793,2.2037545789839528,2.732011965956541,1.826300195175321,2.48981265452932,1.3700279209578496,1.350448589445702,0.8642150510511063
TMEM57,69290,0.7384615384615383,0.3,0.9,1.0,0.95,1.0,0.6,0.65,0.95,0.8,0.8,0.7,0.75,0.2,1.8026853114952266,0.8489507746374836,3.823340377646333,3.567223456273124,1.6627810999942618,1.573847671430293,0.7773707588523365,1.6990798582427011,2.4796371552442635,1.879295998197454,2.1598332078739904,1.2025903195012602,1.3921453889442976,0.36881298260014633
TMEM222,14255,0.8769230769230768,0.6,0.9,1.0,1.0,1.0,1.0,0.9,0.8,1.0,1.0,0.9,0.7,0.6,2.157305208838547,1.3780644238029796,4.288002499774576,3.6635664378783703,1.791390281487518,1.5941005036887494,1.1703686508898024,2.4098520146853586,2.4416956893647184,2.4235261362377924,3.0310337119068813,1.6607593699596344,1.284147826913269,0.9084601683114546
AHDC1,69557,0.8615384615384616,0.5,0.9,1.0,0.9,1.0,0.8,0.8,0.9,0.9,1.0,0.9,0.8,0.8,1.833314754060449,1.13853322982226,2.852162450713581,3.3811956007310258,1.5887169192903243,1.5597671861183255,0.922909232012721,2.1480096990105237,1.98473719810655,1.674227393619829,2.511172369049795,1.5432478522331015,1.486895538903696,1.0415171331741029
TAF12,40217,0.8,0.2,0.9,1.0,1.0,1.0,0.8,0.8,0.9,0.9,0.9,0.7,0.9,0.4,1.9630103173106705,0.7460958285783009,4.118761019193012,3.634096071844211,1.8109250735757947,1.5912359693411235,0.9398142214153221,2.1770511728315305,2.526021059263029,2.030886240843705,2.537981964760607,1.190597547399521,1.6541495686214855,0.5615183873710762
